user_name	user_id	user_registration
Groshna	1722891	20060702235433
Midnightclub118	13791505	20110114193843
Dgarq	10216630	20090729162511
Ruerue244	16827633	20120516034629
Cgravatt	264746	20050511181118
Xep	1293415	20060421071533
Ninamay4	13724198	20110104062510
Muchadura	15565328	20111020145751
KoLdDoOm	2932647	20061204195338
Researcher47	16609959	20120407131554
TheWiserWood	18986144	20130509214533
Dealboxer	9891099	20090612101850
Lionkill	17917690	20121119013822
KababyK	18537753	20130227071904
Funkeboy	2543191	20061022004900
Forcecaster	1991257	20060812222514
Aranhamo	1116626	20060320235529
Mthivier	164104	20050105204831
Mdebruine	233344	20050409224909
RM	156547	20041223182038
Mikeskehan	4124928	20070414212115
Niallrr	20861711	20140226004645
Ianusius	13259885	20101016104122
Monkoii	16853374	20120520202354
Cendicott	285995	20050602183840
MonicalWearingCat	15147712	20110816023352
Darkrai177	16786592	20120508183145
Klallas	19048407	20130520215348
Galactoise	5635014	20071022045607
Hoshinoarashi	7526260	20080724021326
Nashuacatholic	2830089	20061123000154
Jlasher	7108728	20080514233626
Nsoum	19977087	20131021174408
Heavykevy	10244171	20090803034643
Lmaxmai	20699681	20140202232526
Gynex~enwiki	6916103	20080417164204
JS47188	17967384	20121127000256
PascalMichelSI	8838345	20090128101318
AdrianOdysseos	14752660	20110612023633
FierceFame	18290013	20130120011928
Anomo	305890	20050622054953
Lwgmarquis	19314361	20130709152439
Hanskr007	8689650	20090109214010
Choronzonclub	2901619	20061201010621
BereTuborg	6621451	20080308164156
Adelas	4092959	20070411151717
DoctorLuther	17517906	20120916033933
Pavithran	960443	20060220012715
Tmannya	20219877	20131125034222
Lexw	114661	20041007074234
Seyon	199924	20050227000442
Viahmin	11689718	20100214085857
Daleyhewitt	15760452	20111119123623
Pat604	9661620	20090512033922
Rsgeiger	5984372	20071210193500
Pyrosim	174324	20050206081712
Therman^^YHL	2519354	20061018215521
Johnrsabin	7632124	20080811125915
Mkg87	389381	20050817182354
Imanie	2422137	20061007152507
DRiZaLianZ07	7324445	20080617094048
Stawiski	12830115	20100801162118
Wwjdd	215277	20050322054136
Mushfiqwiki	21873296	20140720165939
Rabmuir	13384405	20101105174924
Goldminer2008	9296603	20090324213949
Nurmoosta	37771	20040112120306
Germish~enwiki	339862	20050719112436
Pumeleon	235462	20060223185425
Nguyenthephuc	1596680	20060611083918
Jnyles	14139232	20110307073039
WeErAcHy2007	9639071	20090508203931
Billyvamp4	150235	20041211072721
AmosNider	295045	20050612055208
ElTyrant	82714	20040717132247
Ninjahalo96	3568977	20070215155107
Mascobado~enwiki	4852098	20070713034025
Chi931	21104451	20140402011137
Chrishartford	8916010	20090206145053
Katydidn't	2280796	20060920053316
Abramius	15371048	20110920141026
Ugamma1	2147972	20060903222022
Gbculinary	14861212	20110630011610
Bhuyakasha	19133648	20130604212339
Vadyar	8012956	20081006004033
Yomatt92	7785408	20080904203133
